Số thứ tự (No.),Mã Epic (Epic ID),Tên Epic (Epic Name),Mã User Story (Story ID),Tên User Story (Story Title),User Story,Vai trò (Role),Giá trị nghiệp vụ (Business Value),Mô tả chi tiết (Description),Điều kiện bắt đầu (Precondition),Kết quả sau hoàn thành (Postcondition),Quy tắc liên quan (Business Rule),Độ ưu tiên (Priority),Story Point,Phụ thuộc vào (Dependency),Người phụ trách đề xuất (Assignee),Trạng thái (Status),Ghi chú (Notes)
90,NCL-02,Quản lý phòng loại phòng và giá,NCL-02-CN-006,Giá theo ngày cuối tuần và ngày lễ,"Là Chủ cơ sở, tôi muốn đặt mức giá riêng cho ngày cuối tuần và các ngày lễ, để không phải tạo một bảng giá mùa riêng cho từng dịp lễ trong năm.",Chủ cơ sở,"Giá cuối tuần lặp lại hằng tuần còn ngày lễ rơi rải rác trong năm, cả hai đều không mô tả được bằng bảng giá mùa theo khoảng ngày liên tục. Đây là chỗ chênh giá lớn nhất của homestay.","Chủ cơ sở khai báo những ngày nào trong tuần được coi là cuối tuần cùng mức giá tương ứng cho từng loại phòng, và khai báo danh sách ngày lễ theo ngày cụ thể kèm mức giá riêng. Hệ thống tính tiền phòng theo từng đêm chứ không theo cả kỳ, mỗi đêm lấy đúng mức giá của chính đêm đó. Thứ tự ưu tiên khi một đêm khớp nhiều cấu hình là giá ngày lễ trước, rồi giá cuối tuần, rồi giá theo mùa, cuối cùng là giá cơ bản của loại phòng. Màn hình đặt phòng phải hiển thị bảng chi tiết giá từng đêm để lễ tân giải thích được với khách vì sao hai đêm trong cùng một kỳ lại khác giá. Thay đổi cấu hình giá không hồi tố các đặt phòng đã xác nhận. Mọi thay đổi đều ghi nhật ký theo đúng quy tắc lưu lịch sử giá đang có.",Loại phòng và bảng giá theo mùa đã được khai báo.,"Mỗi đêm trong một kỳ lưu trú được tính đúng mức giá của chính đêm đó, và lễ tân xem được bảng chi tiết giá từng đêm.","QTN-03, QTN-33, QTN-10",Quan trọng,,NCL-02-CN-003,Thành viên một,Chưa thực hiện,
91,NCL-13,Đặt phòng theo đoàn,NCL-13-CN-005,Nhận phòng hàng loạt cho đoàn,"Là Lễ tân, tôi muốn nhận phòng cho cả đoàn trong một thao tác, để không phải mở từng đặt phòng khi cả đoàn đứng chờ ở sảnh.",Lễ tân,Nếu vẫn phải nhận phòng từng phòng một thì việc gán phòng hàng loạt cho đoàn ở story trước gần như mất hết giá trị. Đây là nơi khách đoàn cảm nhận rõ nhất tốc độ phục vụ.,"Lễ tân mở hồ sơ đoàn đã gán phòng và chọn nhận phòng hàng loạt. Hệ thống hiển thị toàn bộ phòng trong đoàn kèm trạng thái sẵn sàng của từng phòng, cho lễ tân bỏ chọn những phòng chưa muốn nhận, ví dụ khách chưa tới. Chỉ những phòng ở trạng thái sẵn sàng mới nhận được, phòng còn ở trạng thái cần dọn hoặc chờ kiểm tra sẽ bị chặn và nêu rõ lý do để lễ tân giục buồng phòng. Khác với gán phòng hàng loạt vốn phải thành công trọn vẹn hoặc không gì cả, nhận phòng hàng loạt cho phép nhận thành công một phần, vì thực tế các đoàn khách hay tới lẻ tẻ. Sau khi nhận, hệ thống hiển thị danh sách những phòng đã nhận và những phòng còn lại kèm lý do. Việc khai báo giấy tờ tùy thân của từng khách trong từng phòng vẫn phải làm theo đúng quy tắc khai báo lưu trú, hệ thống nhắc rõ số phòng còn thiếu giấy tờ trước khi đóng màn hình.",Hồ sơ đoàn đã ở trạng thái đã xác nhận và đã gán đủ phòng.,"Các phòng đủ điều kiện trong đoàn cùng chuyển sang trạng thái đã nhận phòng trong một thao tác, các phòng chưa đủ điều kiện giữ nguyên kèm lý do rõ ràng.","QTN-02, QTN-23, QTN-25",Quan trọng,,"NCL-13-CN-002, NCL-04-CN-001, NCL-12-CN-001",Thành viên hai,Chưa thực hiện,
92,NCL-13,Đặt phòng theo đoàn,NCL-13-CN-006,Trả phòng hàng loạt và chốt hóa đơn đoàn,"Là Lễ tân, tôi muốn trả phòng cho cả đoàn trong một thao tác và chốt hóa đơn theo cách đã chọn cho đoàn, để kết thúc một đoàn khách trong vài phút thay vì gần một giờ.",Lễ tân,Khép kín luồng đặt đoàn từ tạo hồ sơ tới quyết toán. Đây cũng là bước dễ sai nhất vì các phòng trong đoàn có thể có mức phụ thu rất khác nhau.,"Lễ tân mở hồ sơ đoàn đang lưu trú và chọn trả phòng hàng loạt. Hệ thống liệt kê từng phòng kèm số tiền phòng, phụ thu riêng của phòng đó và tình trạng thanh toán, đồng thời hiển thị tổng của cả đoàn. Lễ tân bỏ chọn được những phòng ở lại thêm. Nếu đoàn đã chọn gộp hóa đơn thì hệ thống chốt một hóa đơn chung, nếu chọn tách thì chốt từng hóa đơn theo phòng, theo đúng lựa chọn đã lưu ở story tách gộp hóa đơn. Phòng nào còn dịch vụ phụ thu chưa chốt thì bị chặn và nêu rõ, đúng như luồng trả phòng đơn lẻ. Điều kiện thanh toán vẫn tuân thủ quy tắc không trả phòng khi chưa thu đủ, trừ khi có phê duyệt trả phòng còn nợ. Sau khi hoàn tất, mọi phòng đã trả chuyển sang cần dọn và hồ sơ đoàn chuyển sang đã kết thúc khi không còn phòng nào đang lưu trú.",Hồ sơ đoàn có ít nhất một phòng đang ở trạng thái đã nhận phòng và các dịch vụ phụ thu của những phòng đó đã được chốt.,"Các phòng được chọn cùng chuyển sang đã trả phòng và cần dọn, hóa đơn được chốt theo phương án gộp hoặc tách đã đăng ký của đoàn.","QTN-04, QTN-05, QTN-12, QTN-25",Nên có,,"NCL-13-CN-005, NCL-13-CN-003",Thành viên hai,Chưa thực hiện,
93,NCL-07,Báo cáo công suất và doanh thu,NCL-07-CN-008,Báo cáo cơ cấu đặt phòng theo kênh,"Là Chủ cơ sở, tôi muốn biết mỗi kênh mang lại bao nhiêu đặt phòng và bao nhiêu doanh thu, để dồn công sức vào kênh thực sự hiệu quả thay vì đoán.",Chủ cơ sở,"Mục tiêu số một của sản phẩm là hợp nhất đặt phòng từ mọi kênh, nhưng dữ liệu kênh đang chỉ nằm rải rác trong từng đặt phòng mà chưa được tổng hợp thành thông tin để ra quyết định.","Báo cáo tổng hợp số lượng đặt phòng, số đêm phòng bán được và doanh thu theo từng kênh trong một khoảng thời gian, gồm kênh tại quầy, kênh điện thoại, kênh mạng xã hội, cổng đặt phòng trực tiếp và kênh mô phỏng nhận đặt. Mỗi kênh hiển thị thêm tỷ lệ hủy và tỷ lệ khách không đến, vì một kênh nhiều đặt phòng nhưng hủy nhiều thì không phải kênh tốt. Đặt phòng chưa ghi kênh được gom vào nhóm không xác định và hiển thị rõ để cơ sở biết chất lượng dữ liệu của mình tới đâu. Báo cáo dùng chung bộ lọc thời gian với các báo cáo hiện có và xuất ra tệp được. Doanh thu theo kênh lấy từ hóa đơn đã lập, không lấy từ tiền phòng dự kiến, để khớp với báo cáo doanh thu tổng.",Có dữ liệu đặt phòng đã ghi nhận kênh và có hóa đơn trong kỳ báo cáo.,"Chủ cơ sở so sánh được hiệu quả giữa các kênh theo số lượng, doanh thu và tỷ lệ hủy trong cùng một màn hình.","QTN-10, QTN-09",Nên có,,"NCL-07-CN-002, NCL-08-CN-004, NCL-09-CN-003",Thành viên hai,Chưa thực hiện,
94,NCL-07,Báo cáo công suất và doanh thu,NCL-07-CN-009,Báo cáo giá bán trung bình và doanh thu trên mỗi phòng,"Là Chủ cơ sở, tôi muốn xem giá bán trung bình mỗi đêm và doanh thu trung bình trên mỗi phòng hiện có, để biết nên tăng giá hay nên tăng lượng khách.",Chủ cơ sở,"Công suất và doanh thu khi đứng riêng không trả lời được câu hỏi tối ưu giá. Hai chỉ số này ghép công suất với doanh thu thành thông tin hành động được, và đây chính là mục tiêu tối ưu giá nêu trong tầm nhìn sản phẩm.","Hệ thống tính hai chỉ số theo kỳ do người dùng chọn. Giá bán trung bình bằng doanh thu tiền phòng chia cho số đêm phòng thực bán. Doanh thu trên mỗi phòng bằng doanh thu tiền phòng chia cho tổng số đêm phòng có thể bán trong kỳ, tức số phòng nhân số ngày. Cả hai chỉ số chỉ tính tiền phòng, không tính dịch vụ phụ thu và không tính phí hủy, để không làm sai bản chất chỉ số, và màn hình phải ghi rõ điều này. Cho xem theo từng loại phòng và theo từng tháng để nhìn ra xu hướng mùa. Các phòng đang khóa bảo trì bị loại khỏi số đêm phòng có thể bán, nếu không chỉ số sẽ bị kéo xuống oan. Kỳ báo cáo không có đêm nào bán được thì hiển thị dấu gạch thay vì chia cho không.","Có dữ liệu hóa đơn và dữ liệu phòng trong kỳ báo cáo, và báo cáo công suất đang chạy đúng.","Chủ cơ sở xem được giá bán trung bình và doanh thu trên mỗi phòng theo kỳ và theo loại phòng, kèm ghi chú rõ phạm vi tính toán.","QTN-10, QTN-09",Nên có,,"NCL-07-CN-001, NCL-07-CN-002, NCL-06-CN-003",Thành viên hai,Chưa thực hiện,
95,NCL-09,Cổng đặt phòng trực tiếp cho khách,NCL-09-CN-006,Ảnh và mô tả loại phòng trên cổng đặt phòng,"Là Chủ cơ sở, tôi muốn đăng ảnh và mô tả cho từng loại phòng trên cổng đặt phòng, để khách biết mình đang chọn phòng thế nào trước khi gửi yêu cầu.",Chủ cơ sở,"Cổng đặt phòng hiện chỉ hiện tên loại phòng, giá và tình trạng trống. Khách khó ra quyết định nên tỷ lệ gửi yêu cầu thấp, làm giảm giá trị của cả epic cổng đặt phòng.","Chủ cơ sở tải lên tối đa năm ảnh cho mỗi loại phòng, chọn một ảnh làm ảnh đại diện, sắp xếp thứ tự hiển thị và viết một đoạn mô tả ngắn kèm danh sách tiện nghi chọn từ danh mục có sẵn. Hệ thống giới hạn dung lượng và định dạng tệp ảnh, tự thu nhỏ ảnh để trang khách xem không bị nặng, và từ chối tệp không phải ảnh. Loại phòng chưa có ảnh vẫn hiển thị bình thường trên cổng nhưng dùng ảnh mặc định, không được chặn khách đặt chỉ vì thiếu ảnh. Nội dung này chỉ hiển thị trên cổng dành cho khách, không ảnh hưởng tới màn hình vận hành của lễ tân. Việc thêm, sửa và xóa ảnh đều ghi nhật ký.",Loại phòng đã tồn tại và cổng đặt phòng đang hoạt động.,Khách xem được ảnh và mô tả của từng loại phòng khi chọn ngày trên cổng đặt phòng.,"QTN-13, QTN-09",Nên có,,"NCL-02-CN-001, NCL-09-CN-001",Thành viên hai,Chưa thực hiện,
96,NCL-08,Thông báo và lịch sử hoạt động,NCL-08-CN-006,Gửi xác nhận đặt phòng cho khách,"Là Lễ tân, tôi muốn hệ thống gửi bản xác nhận đặt phòng cho khách ngay sau khi xác nhận, để khách có căn cứ về ngày, phòng, giá và số tiền cọc thay vì chỉ nghe qua điện thoại.",Lễ tân,"Giảm tranh cãi về giá và ngày khi khách tới nhận phòng, và làm cho khoản cọc có chứng từ rõ ràng ngay từ đầu.","Khi một đặt phòng chuyển sang trạng thái đã xác nhận, hệ thống sinh bản xác nhận gồm mã đặt phòng, tên khách, ngày nhận, ngày trả, loại phòng, chi tiết giá từng đêm, số tiền cọc phải nộp và tóm tắt chính sách hủy đang áp dụng. Lễ tân chọn gửi qua thư điện tử nếu khách có địa chỉ thư, hoặc kết xuất bản để gửi qua kênh nhắn tin mà cơ sở đang dùng. Nếu cơ sở chưa cấu hình thư điện tử thì hệ thống vẫn cho kết xuất chứ không chặn nghiệp vụ. Khách không có thông tin liên hệ thì hệ thống cảnh báo nhưng vẫn cho xác nhận đặt phòng. Mỗi lần gửi được ghi nhật ký kèm thời điểm và kênh gửi, và cho gửi lại khi khách báo không nhận được.",Đặt phòng đã ở trạng thái đã xác nhận và cơ sở đã khai báo đủ thông tin trong cấu hình cơ sở.,"Khách nhận được bản xác nhận có đủ ngày, phòng, giá, cọc và chính sách hủy, và hệ thống lưu vết lần gửi.","QTN-06, QTN-18, QTN-24, QTN-10",Quan trọng,,"NCL-03-CN-002, NCL-10-CN-001, NCL-11-CN-001",Thành viên ba,Chưa thực hiện,
97,NCL-08,Thông báo và lịch sử hoạt động,NCL-08-CN-007,Nhắc khách trước ngày nhận phòng,"Là Lễ tân, tôi muốn hệ thống nhắc khách trước ngày nhận phòng, để giảm số khách quên lịch và giảm tỷ lệ khách không đến.",Lễ tân,Khách không đến là khoản thất thu lớn nhất và khó thu hồi nhất. Một lời nhắc đúng lúc rẻ hơn nhiều so với việc xử lý tiền cọc phạt sau đó.,"Chủ cơ sở cấu hình mốc nhắc, ví dụ trước một ngày và trước ba ngày so với ngày nhận phòng. Đến mốc, hệ thống đưa các đặt phòng cần nhắc vào một danh sách để lễ tân gửi, kèm nội dung nhắc gồm mã đặt phòng, ngày giờ nhận phòng, địa chỉ cơ sở và số tiền còn phải thanh toán. Đặt phòng đã hủy, đã nhận phòng hoặc đã đánh dấu khách không đến không xuất hiện trong danh sách. Mỗi đặt phòng chỉ nhắc một lần cho mỗi mốc, tránh làm phiền khách. Lễ tân đánh dấu đã liên hệ hoặc không liên hệ được, và ghi chú lại để ca sau biết. Kết quả liên hệ được ghi nhật ký và hiển thị trên hồ sơ đặt phòng.","Có đặt phòng đã xác nhận với ngày nhận phòng rơi vào mốc nhắc đã cấu hình, và khách có ít nhất một thông tin liên hệ.","Lễ tân có danh sách khách cần nhắc theo ngày, và mỗi lần liên hệ đều được ghi nhận kết quả.","QTN-07, QTN-10",Quan trọng,,"NCL-08-CN-001, NCL-08-CN-006",Thành viên hai,Chưa thực hiện,
98,NCL-08,Thông báo và lịch sử hoạt động,NCL-08-CN-008,Trung tâm thông báo và cấu hình nhận thông báo theo vai trò,"Là Lễ tân, tôi muốn xem lại mọi thông báo trong một chỗ và tự chọn loại nào cần hiện, để không bỏ sót việc quan trọng mà cũng không bị làm phiền bởi thông báo không thuộc phần việc của mình.",Lễ tân,"Hệ thống hiện đã phát nhiều loại thông báo rời rạc gồm nhắc mốc lưu trú, phòng cần dọn, sự cố phòng, hóa đơn chờ duyệt. Không có nơi tập hợp thì thông báo trôi mất và mất luôn tác dụng.","Một trung tâm thông báo tập hợp mọi thông báo gửi tới người đang đăng nhập, sắp theo thời gian, phân biệt đã đọc và chưa đọc, cho lọc theo loại và cho mở thẳng tới đối tượng liên quan như đặt phòng, phòng hay hóa đơn. Quản trị viên khai báo loại thông báo nào mặc định gửi tới vai trò nào, còn từng người được tắt bớt những loại không bắt buộc. Các thông báo bắt buộc như hóa đơn chờ duyệt của Chủ cơ sở hay phòng có sự cố nặng thì không được tắt. Thông báo cũ hơn ba mươi ngày được thu gọn nhưng vẫn tra cứu được. Hệ thống không tạo thêm loại thông báo mới, chỉ tập hợp và điều phối những loại đã có.",Người dùng đã đăng nhập và trong hệ thống đã có ít nhất một loại thông báo được phát.,"Mỗi vai trò nhận đúng loại thông báo thuộc phần việc của mình, và mọi thông báo đều tra cứu lại được.","QTN-09, QTN-10",Quan trọng,,"NCL-08-CN-001, NCL-08-CN-003, NCL-01-CN-003",Thành viên hai,Chưa thực hiện,
99,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-011,Giữ chỗ tạm thời có hạn cho đặt phòng chưa xác nhận,"Là Lễ tân, tôi muốn giữ phòng cho khách trong một khoảng thời gian có hạn khi khách chưa chốt ngay, để không mất khách mà cũng không khóa phòng vô thời hạn.",Lễ tân,"Đây là tình huống hằng ngày khi khách hỏi qua điện thoại và xin nghĩ thêm. Giữ chỗ bằng miệng thì hoặc quên thả ra làm mất doanh thu, hoặc quên giữ làm mất khách.","Lễ tân tạo một lượt giữ chỗ trên phòng cho một khoảng ngày, chọn thời hạn giữ theo giờ trong giới hạn tối đa do Chủ cơ sở cấu hình, và nhập thông tin liên hệ của khách. Phòng đang được giữ chỗ hiển thị khác màu trên lịch phòng và không cho đặt phòng khác chồng lên, đúng theo quy tắc chống trùng. Khi hết hạn mà khách chưa xác nhận, hệ thống tự thả phòng, ghi nhật ký và báo cho lễ tân. Khách xác nhận trong hạn thì lượt giữ chỗ chuyển thành đặt phòng đã xác nhận và đi tiếp vào luồng thu cọc. Lễ tân được gia hạn hoặc hủy lượt giữ chỗ sớm kèm lý do. Lượt giữ chỗ không sinh hóa đơn và không tính vào báo cáo doanh thu.",Phòng còn trống trọn khoảng ngày cần giữ và Chủ cơ sở đã cấu hình thời hạn giữ chỗ tối đa.,"Phòng được giữ trong thời hạn rõ ràng, tự thả khi hết hạn, và chuyển thành đặt phòng chính thức khi khách xác nhận.","QTN-01, QTN-36, QTN-10",Quan trọng,,"NCL-03-CN-002, NCL-03-CN-003, NCL-11-CN-001",Thành viên một,Chưa thực hiện,
100,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-012,Ghi chú và yêu cầu đặc biệt của khách trên đặt phòng,"Là Lễ tân, tôi muốn ghi lại yêu cầu đặc biệt của khách trên đặt phòng và cho đúng người liên quan nhìn thấy, để yêu cầu không bị quên giữa ca này và ca khác.",Lễ tân,"Những yêu cầu như phòng tầng thấp, thêm gối, đón muộn, kỵ mùi hiện chỉ nằm trong trí nhớ của người nhận đặt. Đây là nguồn phàn nàn thường gặp mà chi phí khắc phục lại rất nhỏ.","Trên mỗi đặt phòng, lễ tân thêm ghi chú dạng tự do và chọn các nhãn yêu cầu có sẵn do cơ sở khai báo. Mỗi ghi chú được gắn phạm vi hiển thị gồm dành cho lễ tân, dành cho buồng phòng, hoặc cho cả hai. Ghi chú dành cho buồng phòng xuất hiện trên danh sách phòng cần dọn của phòng tương ứng. Khi làm thủ tục nhận phòng, hệ thống hiển thị nổi bật các yêu cầu chưa xử lý để lễ tân xác nhận đã đáp ứng hay chưa. Ghi chú không được xóa sau khi đã đánh dấu đã xử lý, chỉ được bổ sung, để giữ dấu vết. Nội dung ghi chú không được chứa số giấy tờ tùy thân và hệ thống nhắc điều này khi phát hiện chuỗi số dài bất thường.",Đặt phòng đã tồn tại và cơ sở đã khai báo danh mục nhãn yêu cầu.,"Yêu cầu của khách được lưu trên đặt phòng, hiển thị đúng cho lễ tân và buồng phòng, và được xác nhận đã xử lý khi nhận phòng.","QTN-24, QTN-10, QTN-05",Nên có,,"NCL-03-CN-002, NCL-06-CN-004",Thành viên một,Chưa thực hiện,
101,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-012,Nhận phòng sớm và trả phòng muộn có phụ thu,"Là Lễ tân, tôi muốn xử lý trường hợp khách xin nhận phòng sớm hoặc trả phòng muộn kèm mức phụ thu theo chính sách, để thu đúng phần thời gian phòng bị chiếm thêm thay vì cho không hoặc tính bằng cảm tính.",Lễ tân,Phòng bị giữ thêm nửa ngày là phòng không bán được cho khách khác. Chuẩn hóa mức phụ thu giúp lễ tân không phải tự quyết và giúp chủ cơ sở thu được phần đang mất.,"Chủ cơ sở cấu hình giờ nhận phòng chuẩn, giờ trả phòng chuẩn, và các mốc phụ thu theo khoảng thời gian lệch, ví dụ trước ba giờ so với giờ chuẩn thì thu một phần tiền phòng, sớm hơn nữa thì tính thành một đêm. Khi lễ tân nhận phòng trước giờ chuẩn hoặc trả phòng sau giờ chuẩn, hệ thống tự đề xuất dòng phụ thu tương ứng, cho lễ tân miễn kèm lý do bắt buộc. Nhận phòng sớm chỉ được chấp nhận khi phòng đang ở trạng thái sẵn sàng, nếu phòng còn cần dọn thì hệ thống từ chối và nêu lý do. Trả phòng muộn không được vượt quá thời điểm khách kế tiếp nhận phòng, hệ thống cảnh báo rõ nếu có xung đột. Dòng phụ thu đi vào hóa đơn theo đúng công thức tổng tiền hiện hành.",Đặt phòng ở trạng thái phù hợp và Chủ cơ sở đã cấu hình giờ chuẩn cùng các mốc phụ thu.,Phần thời gian lệch giờ được tính thành phụ thu trên hóa đơn hoặc được miễn kèm lý do có lưu vết.,"QTN-02, QTN-05, QTN-12, QTN-37",Quan trọng,,"NCL-04-CN-001, NCL-04-CN-002, NCL-02-CN-004",Thành viên một,Chưa thực hiện,
102,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-013,Danh sách khách đang lưu trú,"Là Lễ tân, tôi muốn xem nhanh toàn bộ khách đang ở trong cơ sở, để trả lời được ngay ai đang ở phòng nào mà không phải đọc lịch phòng.",Lễ tân,"Là màn hình được dùng nhiều nhất trong ngày ở quầy lễ tân, phục vụ cả việc tiếp khách, việc bàn giao ca và việc kiểm tra nhanh khi có sự cố.","Danh sách hiển thị mọi đặt phòng đang ở trạng thái đã nhận phòng, gồm số phòng, tên khách đứng tên, số người trong phòng, ngày nhận, ngày trả dự kiến, số tiền đã phát sinh, tình trạng thanh toán và các yêu cầu đặc biệt chưa xử lý. Cho lọc theo tầng, theo loại phòng, theo ngày trả phòng trong hôm nay, và theo tình trạng còn nợ. Từ mỗi dòng mở thẳng được sang hồ sơ đặt phòng để ghi dịch vụ phụ thu hoặc làm thủ tục trả phòng. Số giấy tờ tùy thân không hiển thị trên danh sách. Màn hình chỉ đọc, mọi thay đổi phải thực hiện trong hồ sơ đặt phòng để giữ nguyên các quy tắc kiểm soát hiện có.",Có ít nhất một đặt phòng đang ở trạng thái đã nhận phòng.,Lễ tân nắm được toàn bộ tình hình phòng có khách trong một màn hình và mở thẳng được sang việc cần làm.,"QTN-09, QTN-24",Quan trọng,,"NCL-04-CN-001, NCL-04-CN-011",Thành viên hai,Chưa thực hiện,
103,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-010,Thu tiền bằng nhiều hình thức trên một hóa đơn,"Là Lễ tân, tôi muốn ghi nhận một hóa đơn được trả bằng nhiều hình thức khác nhau, để phản ánh đúng thực tế khách trả một phần tiền mặt và phần còn lại chuyển khoản.",Lễ tân,"Ghi gộp tất cả vào một hình thức làm sai lệch số tiền mặt lý thuyết khi chốt ca, và đó chính là nguồn gốc của phần lớn các trường hợp lệch quỹ không giải thích được.","Trên một hóa đơn, lễ tân ghi nhiều lần thu, mỗi lần chọn hình thức gồm tiền mặt, chuyển khoản hoặc quẹt thẻ, nhập số tiền và thời điểm. Hệ thống cộng dồn và hiển thị số còn phải thu cho tới khi bằng không thì hóa đơn chuyển sang đã thanh toán. Tổng các lần thu không được vượt số phải trả, phần thu thừa phải xử lý bằng hoàn tiền chứ không được để dương treo trên hóa đơn. Với hình thức chuyển khoản, hệ thống hiển thị thông tin tài khoản của cơ sở lấy từ cấu hình để khách chuyển, và lễ tân đánh dấu đã nhận được tiền. Mỗi lần thu ghi rõ người thao tác và được đưa vào đúng ca của người đó khi chốt ca. Xóa một lần thu đã ghi nhận là không được phép, chỉ được ghi một lần điều chỉnh ngược kèm lý do.",Hóa đơn ở trạng thái chờ thanh toán và số còn phải thu lớn hơn không.,"Hóa đơn ghi nhận đủ các lần thu theo từng hình thức, và số liệu này khớp với phần tổng hợp khi chốt ca.","QTN-11, QTN-12, QTN-30, QTN-10",Quan trọng,,"NCL-05-CN-003, NCL-05-CN-008",Thành viên ba,Chưa thực hiện,
104,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-011,Hủy hóa đơn nháp kèm lý do,"Là Lễ tân, tôi muốn hủy một hóa đơn nháp lập nhầm và ghi rõ lý do, để không có hóa đơn rác treo trong hệ thống làm sai số liệu báo cáo.",Lễ tân,"Hiện chỉ có đường sửa hóa đơn đã thanh toán bằng hóa đơn điều chỉnh, còn hóa đơn nháp lập nhầm thì không có cách xử lý nào, buộc phải để lại hoặc sửa vòng vo.","Lễ tân chọn hủy một hóa đơn đang ở trạng thái nháp hoặc chờ thanh toán mà chưa ghi nhận bất kỳ lần thu nào, nhập lý do bắt buộc. Hóa đơn chuyển sang trạng thái đã hủy, không bị xóa khỏi hệ thống và vẫn tra cứu được, nhưng không tính vào báo cáo doanh thu. Các dịch vụ phụ thu đã gắn vào hóa đơn được trả về trạng thái chưa lập hóa đơn để lập lại cho đúng. Hóa đơn đã ghi nhận ít nhất một lần thu thì không được hủy mà phải đi qua hoàn tiền và hóa đơn điều chỉnh, đúng nguyên tắc bảo toàn hóa đơn đã thanh toán. Mỗi lần hủy đều ghi nhật ký kèm người thao tác, thời điểm và lý do.",Hóa đơn ở trạng thái nháp hoặc chờ thanh toán và chưa có lần thu nào được ghi nhận.,"Hóa đơn lập nhầm bị vô hiệu hóa nhưng vẫn giữ dấu vết, và các dịch vụ phụ thu quay về trạng thái chờ lập hóa đơn.","QTN-11, QTN-12, QTN-10",Quan trọng,,"NCL-05-CN-002, NCL-05-CN-001",Thành viên ba,Chưa thực hiện,
105,NCL-06,Quản lý dọn phòng,NCL-06-CN-007,Quản lý đồ khách để quên,"Là Nhân viên buồng phòng, tôi muốn ghi nhận đồ khách để quên khi dọn phòng, để món đồ có nơi lưu và có người chịu trách nhiệm thay vì nằm trong ngăn kéo quầy lễ tân.",Nhân viên buồng phòng,Là tranh chấp phổ biến ở homestay và ảnh hưởng trực tiếp tới uy tín cơ sở. Chi phí làm rất nhỏ vì tái dùng luồng dọn phòng đã có.,"Khi dọn phòng, nhân viên ghi nhận món đồ để quên gồm mô tả, vị trí tìm thấy, ngày tìm thấy và phòng tương ứng. Hệ thống tự gắn món đồ với lần lưu trú vừa kết thúc của phòng đó để biết chủ nhân có khả năng là ai và lấy được thông tin liên hệ. Món đồ đi qua các trạng thái đang lưu giữ, đã liên hệ khách, đã trả cho khách và đã xử lý theo chính sách khi quá thời hạn lưu giữ do cơ sở cấu hình. Khi trả cho khách phải ghi người nhận và thời điểm. Danh sách cho lọc theo phòng, theo khoảng ngày và theo trạng thái. Nhân viên buồng phòng chỉ ghi nhận và xem, việc trả đồ cho khách do lễ tân thực hiện. Toàn bộ vòng đời món đồ được ghi nhật ký.",Phòng đang ở trạng thái cần dọn và người thao tác là nhân viên buồng phòng phụ trách phòng đó.,"Mỗi món đồ để quên có hồ sơ riêng gắn với lần lưu trú, có trạng thái rõ ràng và có dấu vết khi trả cho khách.","QTN-05, QTN-09, QTN-10, QTN-24",Nên có,,"NCL-06-CN-002, NCL-04-CN-004",Thành viên hai,Chưa thực hiện,
106,NCL-06,Quản lý dọn phòng,NCL-06-CN-008,Lịch dọn định kỳ cho phòng trống dài ngày,"Là Chủ cơ sở, tôi muốn hệ thống tự đưa phòng trống lâu ngày vào danh sách cần dọn theo chu kỳ, để phòng không bị bụi bẩn khi bất ngờ có khách nhận.",Chủ cơ sở,"Ở cơ sở nhỏ, phòng trống thường bị bỏ quên cho tới lúc có khách, dẫn tới việc phải dọn gấp và làm chậm thủ tục nhận phòng.","Chủ cơ sở cấu hình số ngày tối đa một phòng được để trống mà chưa dọn lại, ví dụ bảy ngày. Hệ thống rà soát hằng ngày và tự đưa các phòng vượt ngưỡng vào danh sách cần dọn với nhãn dọn định kỳ, phân biệt rõ với phòng cần dọn sau khi khách trả. Phòng đang khóa bảo trì không bị đưa vào danh sách. Việc dọn định kỳ không làm thay đổi trạng thái bán được của phòng, phòng vẫn nhận khách bình thường trong lúc chờ dọn định kỳ, nhưng nếu có khách nhận phòng thì việc dọn theo khách được ưu tiên trước và lần dọn định kỳ được tính là đã hoàn thành. Sau mỗi lần dọn, mốc đếm ngày được đặt lại. Chủ cơ sở xem được lần dọn gần nhất của từng phòng.",Cơ sở đã cấu hình chu kỳ dọn định kỳ và có phòng ở trạng thái sẵn sàng không có khách quá số ngày cấu hình.,Phòng trống dài ngày được đưa vào danh sách dọn theo chu kỳ và luôn tra được lần dọn gần nhất.,"QTN-05, QTN-01",Nên có,,"NCL-06-CN-001, NCL-06-CN-004",Thành viên hai,Chưa thực hiện,
